ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-06-03,-41112.691230000004,-42252.24589856737,-39806.18299991775,-41112.691230000004,-41112.691230000004,147.59913396692053,147.59913396692053,147.59913396692053,147.59913396692053,147.59913396692053,147.59913396692053,0.0,0.0,0.0,-40965.092096033084
2024-06-04,-41046.75992368421,-42330.830670739866,-39786.10314053905,-41046.75992368421,-41046.75992368421,-25.748017988014077,-25.748017988014077,-25.748017988014077,-25.748017988014077,-25.748017988014077,-25.748017988014077,0.0,0.0,0.0,-41072.50794167222
2024-06-05,-40980.828617368425,-42226.31663429121,-39736.397384246935,-40980.828617368425,-40980.828617368425,-0.29311020991238185,-0.29311020991238185,-0.29311020991238185,-0.29311020991238185,-0.29311020991238185,-0.29311020991238185,0.0,0.0,0.0,-40981.121727578335
2024-06-06,-40914.897311052635,-42221.02433860533,-39623.84558196832,-40914.897311052635,-40914.897311052635,-8.290372774841458,-8.290372774841458,-8.290372774841458,-8.290372774841458,-8.290372774841458,-8.290372774841458,0.0,0.0,0.0,-40923.18768382748
2024-06-07,-40848.966004736845,-41968.978915810294,-39495.93379200318,-40848.966004736845,-40848.966004736845,83.46607333669554,83.46607333669554,83.46607333669554,83.46607333669554,83.46607333669554,83.46607333669554,0.0,0.0,0.0,-40765.49993140015
2024-06-10,-40651.172085789476,-41815.03519348733,-39126.36637158015,-40651.172085789476,-40651.172085789476,147.59913396702717,147.59913396702717,147.59913396702717,147.59913396702717,147.59913396702717,147.59913396702717,0.0,0.0,0.0,-40503.57295182245
2024-06-11,-40585.24077947369,-41896.359954920685,-39354.353477579505,-40585.24077947369,-40585.24077947369,-25.748017988577324,-25.748017988577324,-25.748017988577324,-25.748017988577324,-25.748017988577324,-25.748017988577324,0.0,0.0,0.0,-40610.98879746226
2024-06-12,-40519.3094731579,-41745.99023976497,-39106.59227274128,-40519.3094731579,-40519.3094731579,-0.2931102097740893,-0.2931102097740893,-0.2931102097740893,-0.2931102097740893,-0.2931102097740893,-0.2931102097740893,0.0,0.0,0.0,-40519.60258336767
2024-06-13,-40453.378167612085,-41724.42172456885,-39098.66302893157,-40453.378167612085,-40453.378167612085,-8.290372774464451,-8.290372774464451,-8.290372774464451,-8.290372774464451,-8.290372774464451,-8.290372774464451,0.0,0.0,0.0,-40461.66854038655
2024-06-14,-40387.446862066274,-41614.38206898325,-39148.73828422671,-40387.446862066274,-40387.446862066274,83.46607333743246,83.46607333743246,83.46607333743246,83.46607333743246,83.46607333743246,83.46607333743246,0.0,0.0,0.0,-40303.98078872884
